Earnings Length Group
30.82 54.5 III
8.26 51.46 II
31.87 38.74 III
6.49 53.64 II
-16.1 44.53 I
3.17 53.13 II
5.84 43.4 II
29.82 54.92 III
21.02 43.99 III
-15.45 48.31 I
25.05 46.6 III
-25.31 47.68 I
-4.76 44.87 I
10.17 53.15 II
11.89 55.32 II
-16.62 43.21 I
24.02 37.07 III
11.87 46.49 II
-0.7 47.91 II
21.35 44.64 III
28.89 43.58 III
25.53 48.66 III
-17.25 54.98 I
24.8 48.33 III
31.44 50.41 III
3.47 41.38 II
-21.81 47.28 I
-8.59 43.54 I
29.59 38.01 III
-8.73 49 I
30.33 48.08 III
-7.45 44.14 I
-33.61 52.53 I
-10.26 35.33 I
39.53 45.06 III
29.83 61.89 III
35.09 46.23 III
4.71 36.95 I
26.61 50.56 III
8.08 54.26 II
-22.52 53.15 I
17.05 43.4 III
-4.94 37.89 I
39.54 47.59 III
2.34 46.53 II
-12.76 47.76 I
-10.01 53.15 I
8.52 49.36 II
-17.8 52.7 I
15.58 55.9 II
13.2 51.36 II
10.2 46.38 II
17.31 49.21 II
10.18 42.42 II
-6.26 55.96 I
12.72 44.55 II
9.37 45.7 II
8.05 52.19 II
23.26 45.18 III
4.75 46.75 II
10.54 48.78 II
-16.36 51.62 I
11.79 50.7 II
27.26 48.46 III
3.64 35.65 II
26.43 50.67 III
24.45 54.91 III
17.96 44.48 II
-16.94 57.64 I
25.71 53.53 III
7.6 48.97 II
21.93 46.72 II
